Mouse ,Tissue,Cell Count ,Infection ,Sample:,Lymphocytes,Singlets,Live Cells,B220F480Neg,CD8+,CD8+CD45+,CD8p_Norm_Freq,CD8p_Norm_Num,CD8p_M6ITotal_Freq,CD8p_M6ITotal_Num,CD8p_M6VTotal_Freq,CD8p_M6VTotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,M6I neg,M6V Neg,WT Neg,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_M6IM6VDP_Freq,CD8p_M6IM6VDP_Num,CD8p_M6IWTDP_Freq,CD8p_M6IWTDP_Num,CD8p_M6ISP_Freq,CD8p_M6ISP_Num,CD8p_M6VWTDP_Freq,CD8p_M6VWTDP_Num,CD8p_M6VSP_Freq,CD8p_M6VSP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,TripleNeg,TripleNeg_Num
105,Lungs,2.29E+07,Primary N3A ,Controls_M1LMMW_013.fcs,67.2,93.7,82.3,67,41.3,11.8,7.906,9.38E+05,5.33,5.00E+04,0,0.00E+00,4.15,3.89E+04,94.7,100,95.9,0,0.00E+00,0,0.00E+00,0.24,2.25E+03,5.09,4.78E+04,0,0.00E+00,0,0.00E+00,3.91,3.67E+04,90.8,8.52E+05
107,Lungs,1.82E+07,Primary N3A ,Controls_M2LMMW_015.fcs,62.9,90.6,81.1,62.9,38.5,19.4,12.2026,1.03E+06,0.83,8.52E+03,0,0.00E+00,4.34,4.45E+04,99.2,100,95.7,0,0.00E+00,0,0.00E+00,0.092,9.44E+02,0.74,7.60E+03,0,0.00E+00,0,0.00E+00,4.24,4.35E+04,94.9,9.74E+05
109,Lungs,1.49E+07,Primary N3A ,Controls_M3LMMW_017.fcs,57.2,90.7,76.5,75.6,45.5,20.3,15.3468,9.08E+05,9.75,8.85E+04,0.51,4.63E+03,1.3,1.18E+04,90.2,99.5,98.7,0,0.00E+00,0,0.00E+00,0,0.00E+00,9.75,8.85E+04,0.51,4.63E+03,0,0.00E+00,0.79,7.17E+03,88.9,8.07E+05
105,Spleen ,4.20E+07,Primary N3A ,Controls_M1SMMW_019.fcs,78.6,94.6,94.1,55.4,31.6,20.8,11.5232,3.39E+06,0,0.00E+00,0,0.00E+00,1.65,5.59E+04,100,100,98.3,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.65,5.59E+04,98.3,3.33E+06
107,Spleen ,7.50E+07,Primary N3A ,Controls_M2SMMW_021.fcs,83.9,94.9,95.5,41.7,25.6,20.2,8.4234,4.80E+06,0,0.00E+00,0.12,5.76E+03,2.92,1.40E+05,100,99.9,97.1,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.12,5.76E+03,2.92,1.40E+05,97,4.66E+06
109,Spleen ,6.00E+07,Primary N3A ,Controls_M3SMMW_023.fcs,85.6,95.9,95.4,39.1,41.6,21.2,8.2892,3.89E+06,0.15,5.84E+03,0.22,8.57E+03,1.55,6.04E+04,99.9,99.8,98.4,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.15,5.84E+03,0.15,5.84E+03,0.074,2.88E+03,1.41,5.49E+04,98.2,3.82E+06
82,Lungs,1.74E+07,Memory N3A ,MMW_M1LMMW_023.fcs,21.8,85.7,80.1,62.1,3.83,44.2,27.4482,7.15E+05,7.87,5.62E+04,1.12,8.00E+03,2.81,2.01E+04,92.1,98.9,97.2,0,0.00E+00,0,0.00E+00,0.56,4.00E+03,7.3,5.22E+04,0,0.00E+00,1.12,8.00E+03,2.25,1.61E+04,88.8,6.35E+05
82,Spleen ,1.67E+07,Memory N3A ,MMW_M1SMMW_026.fcs,68.7,96,94.1,42.7,22.4,26.7,11.4009,1.18E+06,0.18,2.13E+03,0.18,2.13E+03,0.99,1.17E+04,99.8,99.8,99,0,0.00E+00,0,0.00E+00,0.18,2.13E+03,0,0.00E+00,0,0.00E+00,0.18,2.13E+03,0.81,9.57E+03,98.8,1.17E+06
83,Lungs,1.67E+07,Memory N3A ,MMW_M2LMMW_024.fcs,16,81.8,71.5,65.2,6.55,44.7,29.1444,4.55E+05,7.98,3.63E+04,0,0.00E+00,0.42,1.91E+03,92,100,99.6,0,0.00E+00,0,0.00E+00,0,0.00E+00,7.98,3.63E+04,0,0.00E+00,0,0.00E+00,0.42,1.91E+03,91.6,4.17E+05
83,Spleen ,6.26E+07,Memory N3A ,MMW_M2SMMW_027.fcs,70.4,93.6,95.3,35.9,22.2,33,11.847,4.66E+06,0,0.00E+00,0.1,4.66E+03,1.21,5.64E+04,100,99.9,98.8,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.1,4.66E+03,1.21,5.64E+04,98.7,4.60E+06
114,Lungs,1.13E+07,Memory N3A ,MMW_M3LMMW_025.fcs,18.1,86.4,80.7,65.4,5.75,61.8,40.4172,5.76E+05,5.39,3.11E+04,0.49,2.82E+03,1.47,8.47E+03,94.6,99.5,98.5,0,0.00E+00,0,0.00E+00,0,0.00E+00,5.39,3.11E+04,0,0.00E+00,0.49,2.82E+03,1.47,8.47E+03,92.6,5.34E+05
114,Spleen ,8.31E+07,Memory N3A ,MMW_M3SMMW_028.fcs,80.2,91.9,91,45,13.4,33,14.85,8.28E+06,0.64,5.30E+04,0.21,1.74E+04,0.85,7.04E+04,99.4,99.8,99.1,0,0.00E+00,0.11,9.10E+03,0.21,1.74E+04,0.32,2.65E+04,0,0.00E+00,0.11,9.10E+03,0.64,5.30E+04,98.6,8.16E+06
116,BAL,3.73E+06,N3AWT,MMW_M1_BAL_MMW_028.fcs,64.5,90.2,93.6,93.1,66,0.1,0.0931,1.89E+03,10,1.89E+02,2.5,4.73E+01,32.5,6.15E+02,90,97.5,67.5,2.5,4.73E+01,0,0.00E+00,7.5,1.42E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,22.5,4.25E+02,67.5,1.28E+03
116,Lungs,4.36E+07,N3AWT,MMW_M1_L_MMW_025.fcs,50.6,90.7,92.6,84.6,67.4,10.3,8.7138,1.61E+06,28.4,4.59E+05,0.1,1.61E+03,36,5.81E+05,71.6,99.9,64,0.021,3.39E+02,0,0.00E+00,10.6,1.71E+05,17.8,2.87E+05,0.083,1.34E+03,0,0.00E+00,25.3,4.08E+05,46.2,7.46E+05
116,Spleen ,1.03E+08,N3AWT,MMW_M1_S_MMW_029.fcs,78.8,93.3,95,58.9,43.5,64.7,38.1083,2.74E+07,0.66,1.81E+05,0.26,7.13E+04,35.3,9.68E+06,99.3,99.7,64.7,0.021,5.76E+03,7.06E-03,1.94E+03,0.32,8.77E+04,0.3,8.22E+04,0.23,6.31E+04,7.06E-03,1.94E+03,34.7,9.51E+06,64.4,1.77E+07
118,Lungs,3.30E+07,N3AWT,MMW_M2_L_MMW_026.fcs,36.4,90.8,92.5,94.7,73.1,9.28,8.78816,8.87E+05,32,2.84E+05,0.24,2.13E+03,33,2.93E+05,68,99.8,67,0.12,1.06E+03,0.024,2.13E+02,10.8,9.58E+04,21.1,1.87E+05,0.073,6.47E+02,0.024,2.13E+02,22,1.95E+05,45.8,4.06E+05
118,Spleen ,1.32E+08,N3AWT,MMW_M2_S_MMW_030.fcs,77.2,94.6,95.2,62.9,31.9,71.2,44.7848,4.11E+07,0.45,1.85E+05,0.097,3.99E+04,37.9,1.56E+07,99.5,99.9,62.1,0.048,1.97E+04,0.04,1.64E+04,0.22,9.04E+04,0.14,5.75E+04,0,0.00E+00,8.04E-03,3.30E+03,37.6,1.55E+07,62,2.55E+07
119,Lungs,2.66E+07,N3AWT,MMW_M3_L_MMW_027.fcs,59.5,90.6,94.5,92.1,72.2,10,9.21,1.25E+06,35,4.37E+05,1.41,1.76E+04,34.8,4.34E+05,65,98.6,65.2,0.61,7.61E+03,0.071,8.86E+02,12.1,1.51E+05,22.2,2.77E+05,0.73,9.11E+03,0,0.00E+00,21.3,2.66E+05,43,5.37E+05
119,Spleen ,5.90E+07,N3AWT,MMW_M3_S_MMW_031.fcs,79.3,93.9,95.6,52.6,41.7,55.7,29.2982,1.23E+07,0.67,8.24E+04,0.86,1.06E+05,37.3,4.59E+06,99.3,99.1,62.7,0.084,1.03E+04,0.047,5.78E+03,0.27,3.32E+04,0.26,3.20E+04,0.71,8.74E+04,0.019,2.34E+03,36.2,4.45E+06,62.4,7.68E+06
115,Lungs,3.24E+07,N3AT8A,MMW_M1L MMW_030.fcs,52.3,91.2,86.5,87.3,64.7,9.87,8.61651,1.15E+06,16.6,1.91E+05,0.2,2.30E+03,0.71,8.18E+03,83.4,99.8,99.3,0,0.00E+00,0.045,5.18E+02,0.18,2.07E+03,16.4,1.89E+05,0.091,1.05E+03,0.068,7.83E+02,0.43,4.95E+03,82.8,9.54E+05
115,Spleen ,6.25E+07,N3AT8A,MMW_M1S MMW_034.fcs,56.5,98,98.1,41.9,40.2,38.9,16.2991,5.53E+06,1.03,5.70E+04,0.31,1.72E+04,0.87,4.81E+04,99,99.7,99.1,0.073,4.04E+03,0.073,4.04E+03,0.029,1.60E+03,0.85,4.70E+04,0.088,4.87E+03,0.073,4.04E+03,0.67,3.71E+04,98.1,5.43E+06
111,BAL,7.60E+05,N3AT8A,MMW_M2B MMW_038.fcs,25.7,92.4,83.8,82.5,54.9,6.34,5.2305,7.91E+03,0.65,5.14E+01,0,0.00E+00,2.28,1.80E+02,99.3,100,97.7,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.65,5.14E+01,0,0.00E+00,0,0.00E+00,2.28,1.80E+02,97.1,7.68E+03
111,Lungs,3.76E+07,N3AT8A,MMW_M2L MMW_031.fcs,58.4,92.6,89.3,82,59.6,3.56,2.9192,5.30E+05,18,9.54E+04,0.13,6.89E+02,2.3,1.22E+04,82,99.9,97.7,0,0.00E+00,0.066,3.50E+02,0.66,3.50E+03,17.3,9.17E+04,0,0.00E+00,0.066,3.50E+02,1.64,8.69E+03,80.3,4.26E+05
111,Spleen ,6.06E+07,N3AT8A,MMW_M2S MMW_035.fcs,65.3,94,98.4,48.4,37.8,22.2,10.7448,3.93E+06,0.95,3.74E+04,0.22,8.65E+03,2.59,1.02E+05,99,99.8,97.4,0.028,1.10E+03,0.083,3.26E+03,0.1,3.93E+03,0.74,2.91E+04,0.037,1.46E+03,0.074,2.91E+03,2.42,9.52E+04,96.5,3.80E+06
112,Lungs,4.63E+07,N3AT8A,MMW_M3L MMW_032.fcs,46.1,88.9,85.1,85.7,61.7,5.01,4.29357,6.93E+05,14.1,9.78E+04,0.099,6.86E+02,4.69,3.25E+04,85.9,99.9,95.3,0.049,3.40E+02,0,0.00E+00,0.89,6.17E+03,13.1,9.08E+04,0.049,3.40E+02,0,0.00E+00,3.71,2.57E+04,82.2,5.70E+05
112,Spleen ,5.17E+07,N3AT8A,MMW_M3S MMW_036.fcs,67.4,94.7,98.5,49.9,39.2,34.3,17.1157,5.56E+06,0.63,3.50E+04,0.25,1.39E+04,5.35,2.98E+05,99.4,99.8,94.7,0.058,3.23E+03,0.071,3.95E+03,0.071,3.95E+03,0.43,2.39E+04,0.039,2.17E+03,0.078,4.34E+03,5.18,2.88E+05,94.1,5.24E+06
114,Lungs,3.71E+07,N3AT8A,MMW_M4L MMW_033.fcs,49,90.3,85.8,90.4,60.8,10.4,9.4016,1.32E+06,12.4,1.64E+05,0.022,2.91E+02,10.3,1.36E+05,87.6,100,89.7,0.022,2.91E+02,0,0.00E+00,1.38,1.83E+04,11,1.46E+05,0,0.00E+00,0,0.00E+00,8.92,1.18E+05,78.6,1.04E+06
114,Spleen ,4.35E+07,N3AT8A,MMW_M4S MMW_037.fcs,82.2,94.8,98.7,45.6,40.2,14.3,6.5208,2.18E+06,0.093,2.03E+03,0.041,8.94E+02,6.87,1.50E+05,99.9,100,93.1,0,0.00E+00,0.01,2.18E+02,0.021,4.58E+02,0.062,1.35E+03,0,0.00E+00,0.031,6.76E+02,6.85,1.49E+05,93,2.03E+06
89,BAL,3.18E+06,N3AN3A,MMW_MMW_BAL_M1_022.fcs,86.3,96,87.4,99.1,79,0.035,0.034685,7.99E+02,10,7.99E+01,0,0.00E+00,30,2.40E+02,90,100,70,0,0.00E+00,0,0.00E+00,5,3.99E+01,5,3.99E+01,0,0.00E+00,0,0.00E+00,25,2.00E+02,65,5.19E+02
89,Lungs,5.96E+07,N3AN3A,MMW_MMW_L_M1_019.fcs,68.4,93.5,78.1,92.9,74.5,12.2,11.3338,3.37E+06,13.8,4.66E+05,0.047,1.59E+03,25.5,8.60E+05,86.2,100,74.5,0.024,8.10E+02,0,0.00E+00,5.15,1.74E+05,8.66,2.92E+05,0.024,8.10E+02,0,0.00E+00,20.3,6.85E+05,65.8,2.22E+06
92,Lungs,4.40E+07,N3AN3A,MMW_MMW_L_M2_020.fcs,74.3,92.3,72.7,94.9,71.8,6.02,5.71298,1.25E+06,6.94,8.70E+04,0.15,1.88E+03,1.86,2.33E+04,93.1,99.9,98.1,0,0.00E+00,0,0.00E+00,0.15,1.88E+03,6.79,8.51E+04,0,0.00E+00,0.15,1.88E+03,1.71,2.14E+04,91.2,1.14E+06
97,Lungs,6.20E+07,N3AN3A,MMW_MMW_L_M3_021.fcs,44,92.4,71.8,85.1,63.7,9.44,8.03344,1.45E+06,8.82,1.28E+05,0.067,9.74E+02,4.41,6.41E+04,91.2,99.9,95.6,0,0.00E+00,0.067,9.74E+02,0.53,7.71E+03,8.22,1.20E+05,0,0.00E+00,0,0.00E+00,3.88,5.64E+04,87.3,1.27E+06
89,Spleen ,1.33E+08,N3AN3A,MMW_MMW_S_M1_023.fcs,81.9,96.4,96.5,57,43.9,49.5,28.215,2.86E+07,1.89,5.40E+05,0.064,1.83E+04,26.4,7.55E+06,98.1,99.9,73.6,0,0.00E+00,0,0.00E+00,1.88,5.37E+05,0.011,3.14E+03,0.042,1.20E+04,0.021,6.00E+03,24.4,6.98E+06,73.6,2.10E+07
92,Spleen ,3.02E+07,N3AN3A,MMW_MMW_S_M2_024.fcs,74.1,93.4,96.2,62.6,25.4,11.9,7.4494,1.50E+06,12.1,1.81E+05,0.079,1.18E+03,1.19,1.78E+04,87.9,99.9,98.8,0,0.00E+00,0,0.00E+00,0.079,1.18E+03,12,1.80E+05,0,0.00E+00,0.079,1.18E+03,1.11,1.66E+04,86.7,1.30E+06
97,Spleen ,1.40E+08,N3AN3A,MMW_MMW_S_M3_025.fcs,80.1,95.9,95.1,54.2,30.3,33.8,18.3196,1.87E+07,0.099,1.85E+04,0,0.00E+00,3.61,6.76E+05,99.9,100,96.4,0,0.00E+00,0,0.00E+00,0.025,4.68E+03,0.074,1.39E+04,0,0.00E+00,0,0.00E+00,3.58,6.71E+05,96.3,1.80E+07
18,Spleen ,9.09E+07,N3AM6V,MMW_S_M_001_028.fcs,85.8,92.6,22.9,53,46.1,79.1,41.923,6.93E+06,0.44,3.05E+04,4.09,2.84E+05,0.75,5.20E+04,99.6,95.9,99.3,0.057,3.95E+03,0.22,1.53E+04,0.1,6.93E+03,0.072,4.99E+03,0.36,2.50E+04,3.46,2.40E+05,0.23,1.59E+04,95.5,6.62E+06
21,Spleen ,7.84E+07,N3AM6V,MMW_S_M_002_029.fcs,88,93.2,89.5,45.9,40.5,60.8,27.9072,1.61E+07,0.36,5.78E+04,1.25,2.01E+05,0.33,5.30E+04,99.6,98.7,99.7,0.067,1.08E+04,0.19,3.05E+04,0.015,2.41E+03,0.089,1.43E+04,0.1,1.61E+04,0.9,1.44E+05,0.15,2.41E+04,98.5,1.58E+07
23,Spleen ,7.53E+07,N3AM6V,MMW_S_M_003_030.fcs,90.3,93.2,89.8,47.7,36.9,57.7,27.5229,1.57E+07,0.21,3.29E+04,1.19,1.86E+05,9.75,1.53E+06,99.8,98.8,90.3,0.033,5.17E+03,0.017,2.66E+03,0,0.00E+00,0.16,2.51E+04,0.68,1.07E+05,0.46,7.20E+04,9.04,1.42E+06,89.6,1.40E+07
29,Spleen ,7.40E+07,N3AM6V,MMW_S_M_004_031.fcs,89.9,92.9,89.7,54.6,28.5,57.3,31.2858,1.73E+07,0.71,1.23E+05,10.3,1.79E+06,8.87,1.54E+06,99.3,89.7,91.1,9.99E-03,1.73E+03,0.63,1.09E+05,0,0.00E+00,0.07,1.21E+04,8.55,1.48E+06,1.08,1.87E+05,0.31,5.37E+04,89.3,1.55E+07
21,BAL,4.63E+06,N3AM6V,MMW_BAL_M_002_026.fcs,81.2,92,84.1,74.7,43,1.18,0.88146,2.56E+04,0,0.00E+00,1.33,3.41E+02,0,0.00E+00,100,98.7,100,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.33,3.41E+02,0,0.00E+00,98.7,2.53E+04
23,BAL,3.00E+05,N3AM6V,MMW_BAL_M_003_027.fcs,59,96.1,80.2,70.1,26.6,3.47,2.43247,3.32E+03,0,0.00E+00,1.64,5.44E+01,4.92,1.63E+02,100,98.4,95.1,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.64,5.44E+01,0,0.00E+00,3.28,1.09E+02,95.1,3.16E+03
18,Lungs,2.86E+07,N3AM6V,MMW_L_M_001_022.fcs,61.7,86,83.8,87.6,65.8,9.48,8.30448,1.05E+06,0.98,1.03E+04,2.82,2.98E+04,0.45,4.75E+03,99,97.2,99.5,0.027,2.85E+02,0.19,2.00E+03,0.053,5.59E+02,0.72,7.60E+03,0.16,1.69E+03,2.45,2.58E+04,0.21,2.22E+03,96.2,1.01E+06
21,Lungs,3.28E+07,N3AM6V,MMW_L_M_002_023.fcs,49.4,83.5,80.3,88.8,63.3,14.2,12.6096,1.37E+06,0.9,1.23E+04,1.09,1.49E+04,0.25,3.43E+03,99.1,98.9,99.7,0.039,5.35E+02,0.14,1.92E+03,0.019,2.60E+02,0.7,9.60E+03,0.18,2.47E+03,0.74,1.01E+04,0.019,2.60E+02,98.2,1.35E+06
23,Lungs,2.66E+07,N3AM6V,MMW_L_M_003_024.fcs,53.6,85.1,83.2,84.6,63.2,12.1,10.2366,1.03E+06,1.03,1.06E+04,1.65,1.70E+04,10.9,1.12E+05,99,98.4,89.1,0.067,6.91E+02,0.067,6.91E+02,0.13,1.34E+03,0.76,7.84E+03,0.89,9.18E+03,0.62,6.39E+03,9.79,1.01E+05,87.7,9.05E+05
29,Lungs ,2.49E+07,N3AM6V,MMW_L_M_004_025.fcs,46.5,80.9,78.3,87.2,61.6,11.9,10.3768,7.60E+05,1.18,8.97E+03,12.5,9.51E+04,11.4,8.67E+04,98.8,87.5,88.6,0.052,3.95E+02,0.73,5.55E+03,0,0.00E+00,0.39,2.97E+03,10.8,8.21E+04,0.92,7.00E+03,0.55,4.18E+03,86.6,6.59E+05
11,BAL,5.50E+06,N3AM6I ,MMW_MMW_BAL_001_026.fcs,80.4,85.8,86.8,83.2,34.8,0.13,0.10816,3.56E+03,3.57,1.27E+02,3.57,1.27E+02,7.14,2.54E+02,96.4,96.4,92.9,3.57,1.27E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,3.57,1.27E+02,92.9,3.31E+03
12,BAL,2.27E+06,N3AM6I ,MMW_MMW_BAL_002_027.fcs,87.3,90.9,96.4,99.9,0.052,0,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0,0,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
11,Lungs,2.92E+07,N3AM6I ,MMW_MMW_L_001_022.fcs,45.1,83.8,81,88.4,60,18.5,16.354,1.46E+06,0.56,8.19E+03,0.4,5.85E+03,0.22,3.22E+03,99.4,99.6,99.8,0.073,1.07E+03,0.26,3.80E+03,0.015,2.19E+02,0.21,3.07E+03,0.059,8.63E+02,0,0.00E+00,0.073,1.07E+03,99.3,1.45E+06
12,Lungs,4.26E+07,N3AM6I ,MMW_MMW_L_002_023.fcs,25.2,78,67.8,88.6,40.8,11.6,10.2776,5.84E+05,1.78,1.04E+04,0.048,2.80E+02,0.14,8.17E+02,98.2,100,99.9,0,0.00E+00,0.048,2.80E+02,0,0.00E+00,1.73,1.01E+04,0,0.00E+00,0,0.00E+00,0.14,8.17E+02,98.1,5.73E+05
14,Lungs,1.81E+07,N3AM6I ,MMW_MMW_L_003_024.fcs,39.5,84,72.7,81.4,37.3,23.7,19.2918,8.41E+05,0.92,7.74E+03,0.44,3.70E+03,0.88,7.40E+03,99.1,99.6,99.1,0.37,3.11E+03,0,0.00E+00,0.088,7.40E+02,0.46,3.87E+03,0,0.00E+00,0.066,5.55E+02,0.42,3.53E+03,98.6,8.29E+05
20,Lungs,3.77E+07,N3AM6I ,MMW_MMW_L_004_025.fcs,61,86.8,85.3,68.4,34.7,18.7,12.7908,2.18E+06,1.15,2.50E+04,0.27,5.88E+03,0.64,1.39E+04,98.8,99.7,99.4,0,0.00E+00,0.21,4.57E+03,0,0.00E+00,0.94,2.05E+04,0.027,5.88E+02,0.027,5.88E+02,0.62,1.35E+04,98.2,2.14E+06
11,Spleen ,1.10E+08,N3AM6I ,MMW_MMW_S_001_028.fcs,76.6,93.9,92.5,57.4,38.7,51.1,29.3314,2.15E+07,0.32,6.87E+04,0.23,4.94E+04,0.34,7.30E+04,99.7,99.8,99.7,0.036,7.73E+03,0.18,3.86E+04,0,0.00E+00,0.1,2.15E+04,7.27E-03,1.56E+03,0,0.00E+00,0.3,6.44E+04,99.4,2.13E+07
12,Spleen ,9.29E+07,N3AM6I ,MMW_MMW_S_002_029.fcs,75.1,93,93.6,55.5,29.3,51.3,28.4715,1.73E+07,2.41,4.17E+05,0.068,1.18E+04,0.39,6.74E+04,97.6,99.9,99.6,9.74E-03,1.68E+03,0.019,3.29E+03,0.049,8.47E+03,2.33,4.03E+05,9.74E-03,1.68E+03,0.029,5.01E+03,0.32,5.53E+04,97.2,1.68E+07
14,Spleen ,8.53E+07,N3AM6I ,MMW_MMW_S_003_030.fcs,78.7,92.1,94.8,49.8,31.3,32.3,16.0854,9.42E+06,0.52,4.90E+04,0.24,2.26E+04,0.96,9.05E+04,99.5,99.8,99,0.22,2.07E+04,0.015,1.41E+03,0.059,5.56E+03,0.22,2.07E+04,0,0.00E+00,0,0.00E+00,0.68,6.41E+04,98.8,9.31E+06
20,Spleen ,6.81E+07,N3AM6I ,MMW_MMW_S_004_031.fcs,82.3,93.5,94.2,49.6,35.2,36.6,18.1536,8.95E+06,0.41,3.67E+04,0.31,2.78E+04,0.68,6.09E+04,99.6,99.7,99.3,0,0.00E+00,0.23,2.06E+04,0.022,1.97E+03,0.16,1.43E+04,0,0.00E+00,0.086,7.70E+03,0.66,5.91E+04,98.8,8.85E+06
