Mouse ,Cell Count ,Tissue,Condition ,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 Negative ,CD8n_Freq,CD8n_Norm_Freq,CD8n_Num,CD8n_N3ATotal_Freq,CD8n_N3ATotal_Num,CD8n_T8ATotal_Freq,CD8n_T8Atotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,CD8n_Triplepos_Freq,CD8n_Triplepos_Num,CD8n_N3AT8ADP_Freq ,CD8n_N3AT8ADP_Num,CD8n_WTN3ADP_Freq ,CD8n_WTN3ADP_Num,CD8n_WTT8ADP_Freq,CD8n_WTT8ADP_Num,CD8n_WTSP_Freq,CD8n_WTSP_Num,CD8n_N3ASP_Freq,CD8n_N3ASP_Num,CD8n_T8ASP_Freq,CD8n_T8ASP_Num,Triple Neg,total frequency tet+ cells
239,2.12E+07,Spleen,WT Primary,Tetramer Stains_M1SNTW_026.fcs,71.9,93.9,76.3,33.1,57.9,19.1649,2.09E+06,0.23,4.81E+03,1.05,2.20E+04,0.2,4.19E+03,0.056,1.17E+03,0.084,1.76E+03,0.056,1.17E+03,0.019,3.98E+02,0.066,1.38E+03,0.037,7.74E+02,0.89,1.86E+04,98.8,1.2
240,1.35E+07,Spleen,WT Primary,Tetramer Stains_M2SNTW_027.fcs,77.9,95.4,83.2,33.2,68.2,22.6424,1.89E+06,0.12,2.27E+03,1.7,3.21E+04,0.65,1.23E+04,0.016,3.02E+02,0.063,1.19E+03,0.032,6.05E+02,0.25,4.73E+03,0.35,6.62E+03,7.88E-03,1.49E+02,1.36,2.57E+04,97.9,2.1
241,2.60E+07,Spleen,WT Primary,Tetramer Stains_M3SNTW_028.fcs,75,94.4,81.6,35.1,64.7,22.7097,3.41E+06,0.26,8.87E+03,2.4,8.19E+04,0.56,1.91E+04,0.054,1.84E+03,0.099,3.38E+03,0.054,1.84E+03,0.14,4.78E+03,0.32,1.09E+04,0.054,1.84E+03,2.11,7.20E+04,97.2,2.8
242,9.37E+06,Spleen,WT Primary,Tetramer Stains_M4SNTW_029.fcs,76.8,95,75.5,34.1,72.6,24.7566,1.28E+06,0.15,1.92E+03,1.32,1.69E+04,0.59,7.54E+03,0.024,3.07E+02,0.071,9.07E+02,0.047,6.01E+02,0.13,1.66E+03,0.38,4.86E+03,7.84E-03,1.00E+02,1.09,1.39E+04,98.2,1.8
243,2.12E+07,Spleen,WT Primary,Tetramer Stains_M5SNTW_030.fcs,74.5,95.9,86.3,40.6,56.9,23.1014,3.02E+06,0.11,3.32E+03,0.87,2.63E+04,0.52,1.57E+04,0.043,1.30E+03,0,0.00E+00,0.043,1.30E+03,0.28,8.46E+03,0.15,4.53E+03,0.022,6.64E+02,0.54,1.63E+04,98.9,1.1
239,5.40E+05,BAL,WT Primary,Tetramer Stains_M1BALNTW_036.fcs,69.4,97.8,86.4,95.6,99.7,95.3132,3.02E+05,2.65,8.00E+03,2.18,6.58E+03,6.9,2.08E+04,0.36,1.09E+03,0,0.00E+00,2.22,6.70E+03,0.98,2.96E+03,3.34,1.01E+04,0.073,2.20E+02,0.84,2.54E+03,92.2,7.8
239,1.23E+07,Lungs,WT Primary,Tetramer Stains_M1LNTW_012.fcs,59.2,94.9,85.8,28.9,82.8,23.9292,1.42E+06,0.085,1.21E+03,1.95,2.77E+04,3.98,5.65E+04,0.019,2.70E+02,9.40E-03,1.33E+02,0.047,6.67E+02,0.83,1.18E+04,3.08,4.37E+04,9.40E-03,1.33E+02,1.09,1.55E+04,94.9,5.1
240,2.00E+05,BAL,WT Primary,Tetramer Stains_M2BALNTW_022.fcs,54.7,97.1,46,66.3,99.7,66.1011,3.23E+04,0.085,2.75E+01,1.88,6.07E+02,7.16,2.31E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.36,4.39E+02,5.8,1.87E+03,0.085,2.75E+01,0.51,1.65E+02,92.2,7.8
240,9.94E+06,Lungs,WT Primary,Tetramer Stains_M2LNTW_013.fcs,41.7,88.3,74.7,49,82.7,40.523,1.11E+06,0.27,2.99E+03,4.05,4.49E+04,8.68,9.62E+04,0.075,8.31E+02,0.012,1.33E+02,0.091,1.01E+03,3.25,3.60E+04,5.27,5.84E+04,0.091,1.01E+03,0.71,7.87E+03,90.5,9.5
241,9.12E+06,Lungs,WT Primary,Tetramer Stains_M3LNTW_014.fcs,48.8,92.2,82.3,39.3,79.6,31.2828,1.06E+06,0.57,6.02E+03,5.62,5.94E+04,8.11,8.57E+04,0.044,4.65E+02,0.022,2.32E+02,0.27,2.85E+03,1.62,1.71E+04,6.18,6.53E+04,0.23,2.43E+03,3.94,4.16E+04,87.7,12.3
242,2.70E+05,BAL,WT Primary,Tetramer Stains_M4BALNTW_023.fcs,53.7,97.3,50.9,67.9,99.2,67.3568,4.84E+04,0.053,2.56E+01,1.27,6.14E+02,3.65,1.77E+03,0,0.00E+00,0,0.00E+00,0.053,2.56E+01,1,4.84E+02,2.59,1.25E+03,0,0.00E+00,0.26,1.26E+02,96.1,3.9
242,9.61E+06,Lungs,WT Primary,Tetramer Stains_M4LNTW_015.fcs,47.3,90.1,70.1,51,76.3,38.913,1.12E+06,0.39,4.36E+03,2.64,2.95E+04,4.08,4.56E+04,0.083,9.27E+02,0.018,2.01E+02,0.089,9.94E+02,1.35,1.51E+04,2.55,2.85E+04,0.2,2.23E+03,1.19,1.33E+04,94.5,5.5
243,7.71E+06,BAL,WT Primary,Tetramer Stains_M5BALNTW_037.fcs,74.6,98.6,82.5,96.5,99.7,96.2105,4.50E+06,0.38,1.71E+04,1.19,5.36E+04,5.12,2.30E+05,0.1,4.50E+03,0,0.00E+00,0.24,1.08E+04,0.61,2.75E+04,4.17,1.88E+05,0.034,1.53E+03,0.48,2.16E+04,94.4,5.6
243,7.71E+06,Lungs,WT Primary,Tetramer Stains_M5LNTW_016.fcs,53.2,92.9,78.4,30.8,77.6,23.9008,7.14E+05,0.35,2.50E+03,2.08,1.49E+04,4.53,3.23E+04,0.014,1.00E+02,0.028,2.00E+02,0.15,1.07E+03,1,7.14E+03,3.36,2.40E+04,0.15,1.07E+03,1.03,7.35E+03,94.2,5.8
234,2.37E+07,Spleen,WT Memory,Tetramer_Stains_M1S_NTW_012.fcs,43.2,90.7,2.55,28.3,76.1,21.5363,5.10E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,,
235,8.76E+07,Spleen,WT Memory,Tetramer_Stains_M2S_NTW_013.fcs,75.9,95.6,66.9,59.7,81.3,48.5361,2.06E+07,0,0.00E+00,0.23,4.75E+04,0.55,1.14E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.23,4.75E+04,0.31,6.40E+04,0,0.00E+00,0,0.00E+00,,
236,9.69E+07,Spleen,WT Memory,Tetramer_Stains_M3S_NTW_014.fcs,74.7,92.3,75.3,47.7,85.5,40.7835,2.05E+07,0.04,8.21E+03,0.36,7.39E+04,1.28,2.63E+05,0,0.00E+00,0,0.00E+00,0.04,8.21E+03,0.36,7.39E+04,0.88,1.81E+05,0,0.00E+00,0,0.00E+00,,
237,5.35E+07,Spleen,WT Memory,Tetramer_Stains_M4S_NTW_015.fcs,72.4,94.2,27.5,73.8,81.1,59.8518,6.01E+06,0,0.00E+00,1.51,9.07E+04,2.18,1.31E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.47,8.83E+04,0.71,4.26E+04,0,0.00E+00,0.044,2.64E+03,,
238,7.52E+07,Spleen,WT Memory,Tetramer_Stains_M5S_NTW_016.fcs,78.9,93.1,80.3,46.9,81.3,38.1297,1.69E+07,0.064,1.08E+04,0.19,3.21E+04,1.31,2.22E+05,0,0.00E+00,0,0.00E+00,0.064,1.08E+04,0.13,2.20E+04,1.12,1.89E+05,0,0.00E+00,0.064,1.08E+04,,
6,2.45E+07,Lungs,WT Challenge WT Prime,Tetramer_Stains_M1LNTW_012.fcs,61.7,99.3,91.4,93,84.3,78.399,1.08E+07,2.05,2.21E+05,29.9,3.22E+06,53.6,5.77E+06,1.01,1.09E+05,0,0.00E+00,0.97,1.04E+05,28.8,3.10E+06,22.9,2.46E+06,0.16,1.72E+04,0.07,7.53E+03,,
6,8.54E+07,Spleen,WT Challenge WT Prime,Tetramer_Stains_M1SNTW_020.fcs,71.4,97.9,85.6,60.7,55.4,33.6278,1.72E+07,0,0.00E+00,6.46,1.11E+06,11.4,1.96E+06,0,0.00E+00,0,0.00E+00,0,0.00E+00,6.43,1.10E+06,5,8.59E+05,0.03,5.16E+03,0,0.00E+00,,
9,1.04E+07,Lungs,WT Challenge WT Prime,Tetramer_Stains_M2LNTW_013.fcs,77.7,95.6,82.2,42.3,53.4,22.5882,1.43E+06,0.22,3.16E+03,1.67,2.40E+04,4.24,6.08E+04,8.81E-03,1.26E+02,0,0.00E+00,0.21,3.01E+03,1.51,2.17E+04,2.51,3.60E+04,0.15,2.15E+03,2.20E-03,3.16E+01,,
9,8.05E+07,Spleen,WT Challenge WT Prime,Tetramer_Stains_M2SNTW_021.fcs,85.2,99,86.1,57.4,66.3,38.0562,2.22E+07,0.1,2.22E+04,0.96,2.14E+05,2.48,5.52E+05,0,0.00E+00,0,0.00E+00,0.069,1.54E+04,0.83,1.85E+05,1.58,3.52E+05,0.14,3.11E+04,0.034,7.56E+03,,
10,1.80E+07,Lungs,WT Challenge WT Prime,Tetramer_Stains_M3LNTW_014.fcs,48.2,98.6,91.1,91.7,96.3,88.3071,6.88E+06,6.22,4.28E+05,26.7,1.84E+06,38.3,2.64E+06,2.75,1.89E+05,5.90E-03,4.06E+02,2.29,1.58E+05,23.7,1.63E+06,9.59,6.60E+05,0.33,2.27E+04,1.17,8.05E+04,,
10,6.88E+07,Spleen,WT Challenge WT Prime,Tetramer_Stains_M3SNTW_022.fcs,56.9,97.8,67.7,58,50.7,29.406,7.62E+06,0.37,2.82E+04,2.73,2.08E+05,6.84,5.21E+05,0.24,1.83E+04,0,0.00E+00,0.13,9.91E+03,2.46,1.87E+05,4.01,3.06E+05,0.027,2.06E+03,0,0.00E+00,,
100,1.01E+07,Lungs,WT Challenge WT Prime,Tetramer_Stains_M4LNTW_015.fcs,36.5,98.6,89.3,92.4,83.9,77.5236,2.52E+06,0.55,1.38E+04,3.82,9.61E+04,30.3,7.62E+05,0.036,9.06E+02,0,0.00E+00,0.33,8.30E+03,3.77,9.49E+04,26.2,6.59E+05,0.01,2.52E+02,0.19,4.78E+03,,
100,1.96E+07,Spleen,WT Challenge WT Prime,Tetramer_Stains_M4SNTW_023.fcs,54.7,96.5,83.3,48.2,88.4,42.6088,3.67E+06,0.044,1.62E+03,1.11,4.08E+04,1.45,5.32E+04,0.033,1.21E+03,0,0.00E+00,0,0.00E+00,1.08,3.97E+04,0.34,1.25E+04,0,0.00E+00,0.011,4.04E+02,,
1,3.65E+07,Lungs,T8A Challenge,NTW_TetramerStains_M1LNTW_012.fcs,44.5,98.1,94.5,83.8,92,77.096,1.16E+07,6.98,8.10E+05,23.7,2.75E+06,11,1.28E+06,1.51,1.75E+05,0.6,6.97E+04,0.045,5.22E+03,9.33,1.08E+06,12.2,1.42E+06,4.83,5.61E+05,0.075,8.71E+03,,
1,5.71E+07,Spleen,T8A Challenge,NTW_TetramerStains_M1SNTW_015.fcs,59,94.1,98.8,49.2,56.1,27.6012,8.64E+06,0.14,1.21E+04,3.39,2.93E+05,1.04,8.99E+04,0.11,9.51E+03,0,0.00E+00,0,0.00E+00,0.86,7.43E+04,2.42,2.09E+05,0.025,2.16E+03,0.074,6.40E+03,,
4,4.54E+06,BAL,T8A Challenge,NTW_TetramerStains_M3BALNTW_013.fcs,73.2,97.8,94.5,99.2,100,99.2,3.05E+06,1.43,4.36E+04,24.8,7.56E+05,12.6,3.84E+05,1.36,4.14E+04,8.26E-03,2.52E+02,0.056,1.71E+03,11,3.35E+05,12.5,3.81E+05,2.75E-03,8.38E+01,0.19,5.79E+03,,
4,2.75E+07,Lungs,T8A Challenge,NTW_TetramerStains_M3LNTW_014.fcs,45.9,96.2,92.6,93.9,92,86.388,9.71E+06,3.59,3.49E+05,7.08,6.88E+05,7.09,6.89E+05,1.04,1.01E+05,0.12,1.17E+04,0.39,3.79E+04,5,4.86E+05,0.93,9.03E+04,2.04,1.98E+05,0.67,6.51E+04,,
4,5.60E+07,Spleen,T8A Challenge,NTW_TetramerStains_M3SNTW_016.fcs,64.3,92.4,98.3,50,75.8,37.9,1.24E+07,0.049,6.07E+03,0.72,8.92E+04,0.71,8.80E+04,0.02,2.48E+03,9.78E-03,1.21E+03,0.02,2.48E+03,0.48,5.95E+04,0.22,2.73E+04,0,0.00E+00,0.2,2.48E+04,,
130,4.73E+06,BAL,T8A Challenge,TETRAMER_NTW BAL M1_042.fcs,80.7,94.1,92.2,84,95.4,80.136,2.65E+06,5.06,1.34E+05,11.9,3.16E+05,14,3.72E+05,4.19,1.11E+05,0.076,2.02E+03,0.41,1.09E+04,5.8,1.54E+05,3.55,9.42E+04,0.38,1.01E+04,1.83,4.86E+04,,
131,2.82E+06,BAL,T8A Challenge,TETRAMER_NTW BAL M2_043.fcs,69.3,90.3,87.5,66.4,91.8,60.9552,9.41E+05,0.017,1.60E+02,1.26,1.19E+04,0.21,1.98E+03,0.017,1.60E+02,0,0.00E+00,0,0.00E+00,0.1,9.41E+02,0.086,8.09E+02,0,0.00E+00,1.13,1.06E+04,,
133,8.00E+05,BAL,T8A Challenge,TETRAMER_NTW BAL M3_040.fcs,26.7,89.4,82.5,61.7,87.3,53.8641,8.49E+04,4.2,3.56E+03,10.7,9.08E+03,8.31,7.05E+03,4.11,3.49E+03,0.057,4.84E+01,0,0.00E+00,3.79,3.22E+03,0.41,3.48E+02,0.038,3.22E+01,2.71,2.30E+03,,
134,1.79E+06,BAL,T8A Challenge,TETRAMER_NTW BAL M4_044.fcs,67.2,91.3,89.7,80.9,90.6,73.2954,7.22E+05,4.37,3.16E+04,5.52,3.99E+04,2.8,2.02E+04,0.53,3.83E+03,0.12,8.66E+02,0.085,6.14E+02,2.07,1.49E+04,0.12,8.66E+02,3.64,2.63E+04,2.8,2.02E+04,,
